STATE,2012 Earned Premium,2011 Earned Premium,2010 Earned Premium,2012 Earned Exposures,2011  Earned Exposures,2010,rate
Alabama,425610026.00,416704734.00,409745570.00,3204214.00,3162108.00,3124366.00,132.83
Alaska,73626563.00,73417802.00,73408101.00,446211.00,438730.00,426686.00,165.00
Arizona,596614985.00,595636444.00,608442860.00,3717188.00,3708980.00,3651553.00,160.50
Arkansas,251357409.00,244314302.00,243225088.00,1744434.00,1721641.00,1710444.00,144.09
California,4041984600.00,3858178817.00,3853858975.00,24092773.00,23743811.00,23557656.00,167.77
Colorado,526398245.00,515199272.00,511450592.00,3499856.00,3448087.00,3400553.00,150.41
Connecticut,363786054.00,358184294.00,353004639.00,1872197.00,1863827.00,1844708.00,194.31
Delaware,89210780.00,86501857.00,83478341.00,545234.00,539485.00,528212.00,163.62
District of Columbia ,47759893.00,47143980.00,45728995.00,219719.00,216850.00,214002.00,217.37
Florida,1779695681.00,1735529420.00,1752780611.00,11177585.00,11031097.00,10992533.00,159.22
Georgia,969226315.00,944594306.00,950106933.00,5990728.00,5915635.00,5836834.00,161.79
Hawaii,107791944.00,107111518.00,103173216.00,757745.00,744833.00,706019.00,142.25
Idaho,104003418.00,105980223.00,107122595.00,967786.00,961334.00,951475.00,107.47
Illinois,955731245.00,960722882.00,980034308.00,6521351.00,6485878.00,6457640.00,146.55
Indiana,513718255.00,516089005.00,525991945.00,4023241.00,4048531.00,4013324.00,127.69
Iowa,247783446.00,244270393.00,231765961.00,2203350.00,2181829.00,2143439.00,112.46
Kansas,260731238.00,259153986.00,259314294.00,1976777.00,1960512.00,1961913.00,131.90
Kentucky,375908047.00,365624808.00,357185700.00,2799982.00,2769177.00,2776713.00,134.25
Louisiana,530870568.00,517647012.00,499310844.00,2547582.00,2511151.00,2491400.00,208.38
Maine,79657144.00,79404678.00,80109239.00,656407.00,658191.00,657281.00,121.35
Maryland,685438423.00,676674314.00,673763049.00,3676534.00,3626670.00,3578044.00,186.44
Massachusetts,893111128.00,860295479.00,820880131.00,4000062.00,3968411.00,3893128.00,223.27
Michigan,91877565.00,86072026.00,82751614.00,5133689.00,5009316.00,4961965.00,17.90
Minnesota,403825143.00,390538637.00,386907154.00,3547277.00,3518067.00,3478797.00,113.84
Mississippi,217065851.00,211613478.00,212364568.00,1710083.00,1675610.00,1652549.00,126.93
Missouri,537808873.00,528162281.00,527597449.00,3592684.00,3575738.00,3557059.00,149.70
Montana,76173594.00,75552251.00,75245147.00,690568.00,674893.00,663415.00,110.31
Nebraska,176473491.00,172907954.00,169213740.00,1390917.00,1369718.00,1348142.00,126.88
Nevada,263263389.00,266689457.00,276651596.00,1579099.00,1545920.00,1532110.00,166.72
New Hampshire,94503973.00,93045454.00,93619316.00,728743.00,730831.00,725797.00,129.68
New Jersey,708335104.00,687491385.00,665369156.00,3805537.00,3779238.00,3716986.00,186.13
New Mexico,177456606.00,175709846.00,176697901.00,1334520.00,1320480.00,1307374.00,132.97
New York,1569338968.00,1504803273.00,1436888637.00,7805248.00,7771667.00,7710352.00,201.06
North Carolina,890734031.00,889062104.00,907838983.00,6995888.00,6931252.00,6894649.00,127.32
North Dakota,56698733.00,51370748.00,46752963.00,546065.00,527216.00,515499.00,103.83
Ohio,952108776.00,937645541.00,934418161.00,7211328.00,7206325.00,7147593.00,132.03
Oklahoma,369329809.00,358528030.00,348454995.00,2356852.00,2339731.00,2333617.00,156.70
Oregon,336387037.00,335306893.00,340667363.00,2489181.00,2506276.00,2490031.00,135.14
Pennsylvania,1195022500.00,1164151310.00,1145014565.00,7627196.00,7640490.00,7588559.00,156.68
Rhode Island,115294965.00,109637471.00,105965863.00,528575.00,529709.00,525954.00,218.12
South Carolina,483253124.00,464133385.00,460114293.00,3215862.00,3171184.00,3126824.00,150.27
South Dakota,59193933.00,56356159.00,54243818.00,609925.00,599480.00,593210.00,97.05
Tennessee,539375089.00,517701979.00,509531444.00,3952828.00,3902900.00,3872262.00,136.45
Utah,257244950.00,257222684.00,263294621.00,1612353.00,1586410.00,1575838.00,159.55
Vermont,39063551.00,38264359.00,38036803.00,323234.00,319802.00,318186.00,120.85
Virginia,830218095.00,805514349.00,797240251.00,5737838.00,5696761.00,5623859.00,144.69
Washington,556261205.00,563089774.00,569763112.00,3908386.00,3895130.00,3863418.00,142.33
West Virginia,164264413.00,159799411.00,153602541.00,1226183.00,1217754.00,1199338.00,133.96
Wisconsin,357909317.00,354124568.00,347657865.00,3528891.00,3473583.00,3398654.00,101.42
Wyoming,49041247.00,48123978.00,47002596.00,424988.00,417574.00,411322.00,115.39
