STATE,2012 Incurred Losses,2011 Incurred Losses,2010 Incurred Losses,2012 Incurred Claims,2011  Incurred Losses,2010
Alabama,337113740,322712991,308944985,99094,99140,97736
Alaska,64261028,58300116,55159782,17723,16548,16107
Arizona,469849056,453910991,413725372,147568,145151,137820
Arkansas,195499866,191847054,186933832,60251,61091,61528
California,3153224778,2977239535,2786780269,985702,917541,911921
Colorado,393341785,382539793,353658484,127741,129452,121823
Connecticut,294404077,298412277,281411391,90316,94930,92045
Delaware,74496989,72396694,71965688,23203,23367,23321
District of Columbia ,35361149,35032097,35918798,14359,14607,14769
Florida,1395198871,1368421233,1360364851,478052,480069,477754
Georgia,797581210,767352397,743822672,254324,250924,250430
Hawaii,85130462,81376745,78382140,29317,29242,28971
Idaho,77812807,72891068,70287306,28526,28102,27843
Illinois,777837392,752993842,724542680,258790,254914,256976
Indiana,414772522,390445400,385109245,133755,133740,136039
Iowa,188314557,179371046,181304017,63485,63158,67737
Kansas,197403962,195263605,185958215,65397,67472,66842
Kentucky,296035408,291955738,292020081,101080,103721,105585
Louisiana,425144922,404568815,385080560,119651,116829,115632
Maine,62668786,66574953,61067247,21903,23548,22650
Maryland,556293247,550832824,537588780,192092,193187,192837
Massachusetts,587467801,591820659,556620480,214933,225312,220243
Michigan,41808665,39315159,41476835,21094,20226,23671
Minnesota,316577463,311581169,305075717,110741,114045,115326
Mississippi,170633682,166858003,161707866,51100,51180,51678
Missouri,393360090,391468887,381763150,135538,139015,139581
Montana,55419771,54998841,50839591,18109,18612,18476
Nebraska,134352880,130969601,127961931,45380,46479,47114
Nevada,195783673,180981142,174641940,64800,61340,59972
New Hampshire,79838798,80480480,76635214,28410,29082,28248
New Jersey,591332832,576515550,559317654,171863,172535,169403
New Mexico,133381046,130072158,125635978,44752,45113,44256
New York,1300933515,1253162070,1211805457,382839,382891,386732
North Carolina,714913337,685928218,689165224,253129,245430,253156
North Dakota,45111736,45562978,42225919,14823,16026,16029
Ohio,756690926,751022771,711560365,270610,277359,273193
Oklahoma,289154010,273919327,263692656,91081,89525,91043
Oregon,264780401,251335613,242550534,94660,92814,93662
Pennsylvania,972668809,981669258,927515917,320115,332058,328228
Rhode Island,100023906,99773004,95012508,29480,30733,30359
South Carolina,374003559,364047784,355887098,123700,124161,124484
South Dakota,43112290,44647321,42615300,14957,16236,16640
Tennessee,417077507,406952583,391678117,123460,123815,122810
Texas,2220562459,1997554797,1968124540,NA,NA,NA
Utah,192512407,177987192,170298616,65264,64561,63590
Vermont,29634629,31288841,28566978,10783,11457,10874
Virginia,670057607,647651229,608999910,237322,238528,231218
Washington,450203261,429527002,407635052,152411,149493,150030
West Virginia,125489385,125556538,123697432,40977,41233,41613
Wisconsin,287121611,277136396,255124281,95415,95374,92773
Wyoming,36046502,37794193,34556199,10878,11635,11365
