STATE,2012 No of RegVehicles,2011 No of RegVehicles,2010 No of RegVehicles,2012 No of thefts,2011 No of thefts,2010 No of thefts
Alabama,4712167,4684642,4653838,9874,10662,10600
Alaska,743305,726934,710444,1522,1343,1619
Arizona,5014259,4930326,4320010,19158,19829,21508
Arkansas,2403830,2372009,2073411,5724,5812,5544
California,26914629,28358047,31014128,168608,146848,152524
Colorado,4378015,4159020,4180298,12092,11047,11247
Connecticut,2623127,2730831,3082011,6449,6712,6707
Delaware,912912,898917,799012,1436,1530,1929
District of Columbia,318206,312692,211653,3661,4456,5036
Florida,15046834,14894843,14372807,37330,39621,41462
Georgia,7445788,7334115,7701942,28536,29475,30305
Hawaii,1196215,1117543,904467,3605,4184,5100
Idaho,1580264,1562581,1324985,1364,1333,1322
Illinois,9767228,10094916,10078618,25690,28769,28796
Indiana,5781263,5928365,5698013,13661,14816,13118
Iowa,3330987,3322313,3312705,4023,3936,3776
Kansas,2367652,2364605,2436246,6778,6677,6009
Kentucky,3570060,3664532,3589118,6668,6673,6209
Louisiana,3821119,3984136,4086128,7881,9123,9893
Maine,1126824,1120953,1053842,995,1078,990
Maryland,3861428,3785507,4557006,15025,16068,18051
Massachusetts,4825738,5536320,5333915,9232,10786,11453
Michigan,7531943,8874498,9286067,25115,25496,27353
Minnesota,4857239,4669345,4847971,8458,8182,8587
Mississippi,2023876,2008446,2015915,4322,4925,5360
Missouri,5508795,5029047,5153425,16308,15317,16051
Montana,1329735,1172147,925854,1689,1458,1526
Nebraska,1835625,1835580,1802498,4147,4103,3614
Nevada,2060690,2083431,1361671,10018,9485,10185
New Hampshire,1222564,1199217,1202974,1023,974,968
New Jersey,7579004,7609467,6628080,16481,17415,15556
New Mexico,1739124,1707128,1612491,5463,5408,5247
New York,10103331,10084704,10255099,17348,19311,20433
North Carolina,7593350,6026287,5742829,16120,17032,18310
North Dakota,776344,753198,735644,1151,980,859
Ohio,9776560,9826755,9800933,19512,21068,21118
Oklahoma,3312256,3301539,3357464,11564,11031,10190
Oregon,3441114,3019803,3050254,10203,9047,8912
Pennsylvania,10052131,9898084,9990941,15028,16844,16669
Rhode Island,821281,885738,782438,2628,2287,2399
South Carolina,3784593,3718837,3660878,13201,13464,13197
South Dakota,930219,925753,925548,1065,946,795
Tennessee,5225095,5133915,5113913,12980,14036,14835
Texas,19789723,19174572,17193559,64996,63338,68023
Utah,1918522,1823980,2654715,5999,6183,5949
Vermont,576250,574983,566650,435,499,441
Virginia,6917302,6802556,6148794,9076,9724,10548
Washington,5632644,5659907,4682790,26402,24835,25729
West Virginia,1400881,1400658,1435523,2209,2254,2361
Wisconsin,4934320,4926539,4967777,8216,8232,8138
Wyoming,768086,767918,663253,584,521,591
