STATE,NoFault
Alabama,No
Alaska,No
Arizona,No
Arkansas,No
California,No
Colorado,No
Connecticut,No
Delaware,No
District of Columbia ,No
Florida,Yes
Georgia,No
Hawaii,Yes
Idaho,No
Illinois,No
Indiana,No
Iowa,No
Kansas,Yes
Kentucky,Choice
Louisiana,No
Maine,No
Maryland,No
Massachusetts,Yes
Michigan,Yes
Minnesota,Yes
Mississippi,No
Missouri,No
Montana,No
Nebraska,No
Nevada,No
New Hampshire,No
New Jersey,Choice
New Mexico,No
New York,No
North Carolina,No
North Dakota,Yes
Ohio,No
Oklahoma,No
Oregon,No
Pennsylvania,Choice
Rhode Island,No
South Carolina,No
South Dakota,No
Tennessee,No
Texas,No
Utah,Yes
Vermont,No
Virginia,No
Washington,No
West Virginia,No
Wisconsin,No
Wyoming,No
